classifier,type,synthetic_ratio,auc_no_slte,auc_slte,delta_auc
Decision Tree,TREE ,0.0,0.7154,0.7154,0.0
Decision Tree,TREE ,0.2,0.7113,0.7117,0.0004
Decision Tree,TREE ,0.4,0.7074,0.703,-0.0044
Decision Tree,TREE ,0.6,0.6953,0.6866,-0.0087
Decision Tree,TREE ,0.8,0.6833,0.677,-0.0063
Decision Tree,TREE ,1.0,0.6467,0.6742,0.0275
Random Forest,TREE ,0.0,0.7135,0.7135,0.0
Random Forest,TREE ,0.2,0.7066,0.7087,0.0021
Random Forest,TREE ,0.4,0.704,0.7041,0.0001
Random Forest,TREE ,0.6,0.6951,0.6958,0.0007
Random Forest,TREE ,0.8,0.6801,0.6874,0.0073
Random Forest,TREE ,1.0,0.6399,0.6873,0.0474
Gradient Boosting,TREE ,0.0,0.7298,0.7298,0.0
Gradient Boosting,TREE ,0.2,0.7256,0.7229,-0.0027
Gradient Boosting,TREE ,0.4,0.7212,0.7189,-0.0023
Gradient Boosting,TREE ,0.6,0.7127,0.7142,0.0015
Gradient Boosting,TREE ,0.8,0.7008,0.7096,0.0088
Gradient Boosting,TREE ,1.0,0.6843,0.7146,0.0303
Logistic Regression,PARAM,0.0,0.6659,0.6659,0.0
Logistic Regression,PARAM,0.2,0.6618,0.6582,-0.0036
Logistic Regression,PARAM,0.4,0.6525,0.6479,-0.0046
Logistic Regression,PARAM,0.6,0.6399,0.6376,-0.0023
Logistic Regression,PARAM,0.8,0.6196,0.6252,0.0056
Logistic Regression,PARAM,1.0,0.5964,0.5988,0.0024
Naive Bayes,PARAM,0.0,0.6496,0.6496,0.0
Naive Bayes,PARAM,0.2,0.6478,0.6385,-0.0093
Naive Bayes,PARAM,0.4,0.6424,0.631,-0.0114
Naive Bayes,PARAM,0.6,0.6326,0.6254,-0.0072
Naive Bayes,PARAM,0.8,0.6123,0.62,0.0077
Naive Bayes,PARAM,1.0,0.5803,0.6119,0.0316
