synthetic_ratio,n_real,n_synthetic,classifier,slte,accuracy,f1,precision,recall,auc_roc
0.0,88420,0,Logistic Regression,True,0.6613,0.4105,0.3165,0.584,0.6659
0.0,88420,0,Naive Bayes,True,0.7665,0.2294,0.3439,0.172,0.6496
0.0,88420,0,Decision Tree,True,0.6054,0.4379,0.3073,0.7612,0.7154
0.0,88420,0,Random Forest,True,0.7751,0.2539,0.3845,0.1895,0.7135
0.0,88420,0,Gradient Boosting,True,0.798,0.0062,0.4828,0.0031,0.7298
0.2,70736,17684,Logistic Regression,True,0.6567,0.4102,0.3141,0.5912,0.6582
0.2,70736,17684,Naive Bayes,True,0.745,0.3008,0.3369,0.2717,0.6385
0.2,70736,17684,Decision Tree,True,0.5744,0.4353,0.2973,0.8123,0.7117
0.2,70736,17684,Random Forest,True,0.7787,0.2245,0.3842,0.1586,0.7087
0.2,70736,17684,Gradient Boosting,True,0.7981,0.0,0.0,0.0,0.7229
0.4,53052,35368,Logistic Regression,True,0.6205,0.3926,0.29,0.6073,0.6479
0.4,53052,35368,Naive Bayes,True,0.7284,0.333,0.3302,0.3358,0.631
0.4,53052,35368,Decision Tree,True,0.5595,0.4319,0.292,0.8291,0.703
0.4,53052,35368,Random Forest,True,0.7842,0.1991,0.3975,0.1328,0.7041
0.4,53052,35368,Gradient Boosting,True,0.7982,0.0013,0.75,0.0007,0.7189
0.6,35368,53052,Logistic Regression,True,0.5964,0.383,0.277,0.6203,0.6376
0.6,35368,53052,Naive Bayes,True,0.7348,0.3224,0.333,0.3125,0.6254
0.6,35368,53052,Decision Tree,True,0.5519,0.4252,0.2869,0.8208,0.6866
0.6,35368,53052,Random Forest,True,0.7847,0.1485,0.3686,0.093,0.6958
0.6,35368,53052,Gradient Boosting,True,0.798,0.0004,0.3333,0.0002,0.7142
0.8,17684,70736,Logistic Regression,True,0.6082,0.3667,0.2722,0.5618,0.6252
0.8,17684,70736,Naive Bayes,True,0.7742,0.2048,0.3545,0.144,0.62
0.8,17684,70736,Decision Tree,True,0.5854,0.4212,0.2933,0.7471,0.677
0.8,17684,70736,Random Forest,True,0.7906,0.0897,0.3666,0.0511,0.6874
0.8,17684,70736,Gradient Boosting,True,0.7979,0.0022,0.3571,0.0011,0.7096
1.0,0,88420,Logistic Regression,True,0.6821,0.3025,0.2716,0.3414,0.5988
1.0,0,88420,Naive Bayes,True,0.7922,0.0896,0.3883,0.0506,0.6119
1.0,0,88420,Decision Tree,True,0.7187,0.3952,0.3492,0.4552,0.6742
1.0,0,88420,Random Forest,True,0.7976,0.0084,0.3958,0.0043,0.6873
1.0,0,88420,Gradient Boosting,True,0.7981,0.0,0.0,0.0,0.7146
